frame_id,brand,location,size,percentage,x,y,confidence,count,new_id
29,Toyota,Bib,2520,0.2734375,570.5,334,0.9996,1,50
30,Toyota,Bib,756,0.08203125,669,401,0.998076,1,51
31,Seiko,Infield_Board,752,0.081597222,734.5,475,0.648088,1,52
31,Toyota,Bib,484,0.052517361,657,401.5,0.792681,1,51
32,Toyota,Bib,2006,0.217664931,448.5,459,0.831734,1,53
32,London_2017,Grandstand,10880,1.180555556,212,59,0.99754,1,54
33,#BeTheNext,Grandstand,8100,0.87890625,1190,59.5,0.99879,1,55
33,Toyota,Bib,2040,0.221354167,450,422,0.896671,1,53
34,#BeTheNext,Grandstand,8668,0.940538194,888.5,50,0.998061,1,56
34,Toyota,Bib,8109,0.879882813,705.5,498.5,0.999818,1,57
35,Toyota,Bib,10738,1.165147569,630,487.5,0.999928,1,57
36,Toyota,Bib,10965,1.189778646,511.5,512.5,0.999796,1,58
37,Toyota,Bib,9504,1.03125,611,479,0.999738,1,59
38,Toyota,Bib,9750,1.057942708,487.5,464,0.999875,1,60
39,Toyota,Bib,9950,1.079644097,766.5,484,0.999829,1,61
40,Toyota,Bib,10659,1.156575521,759.5,469.5,0.999912,1,61
41,Heineken,Led_Board_S,15756,1.709635417,1179,351,0.999987,1,62
42,Heineken,Led_Board_S,13860,1.50390625,1138.5,285,0.99996,1,62
42,Toyota,Bib,9296,1.008680556,599,391,0.996415,1,63
43,Heineken,Led_Board_S,11005,1.194118924,1202.5,318.5,0.999951,1,62
43,Toyota,Bib,5439,0.590169271,628.5,412.5,0.998915,1,63
44,Heineken,Led_Board_S,8798,0.954644097,1070,307.5,0.998948,1,64
44,Muller,Led_Board_M,5586,0.606119792,1227,307.5,0.992651,1,65
44,Toyota,Bib,7912,0.858506944,840,416,0.998232,1,66
45,Heineken,Led_Board_S,4048,0.439236111,791,331,0.989865,1,67
45,Muller,Led_Board_M,3763,0.408311632,994.5,330.5,0.999725,1,68
45,Muller,Led_Board_M,3519,0.381835938,896.5,331.5,0.999781,1,69
45,Seiko,Infield_Board,15312,1.661458333,1152,477,0.945162,1,70
46,Heineken,Led_Board_S,6560,0.711805556,826,338,0.99972,1,67
46,Muller,Led_Board_M,2970,0.322265625,946,334.5,0.998361,1,68
46,Muller,Led_Board_M,3168,0.34375,1040,339,0.999435,1,68
46,IAAF,Grandstand,950,0.103081597,333,45.5,0.988949,1,71
46,Seiko,Infield_Board,12932,1.403211806,1169,464.5,0.992696,1,70
46,Toyota,Bib,5040,0.546875,621,374.5,0.999733,1,72
47,Heineken,Led_Board_S,5544,0.6015625,838,301,0.998995,1,67
47,Muller,Led_Board_M,2337,0.253580729,1046.5,296.5,0.99629,1,68
47,Muller,Led_Board_M,2173,0.23578559,958.5,297.5,0.997236,1,68
47,IAAF,Grandstand,990,0.107421875,379.5,24,0.982549,1,71
47,Seiko,Infield_Board,13184,1.430555556,1169,416,0.975103,1,70
47,Toyota,Bib,5586,0.606119792,647.5,345,0.999365,1,72
48,Heineken,Led_Board_S,5244,0.569010417,804,275,0.999978,1,67
48,Muller,Led_Board_M,2268,0.24609375,908.5,274,0.997218,1,68
48,Muller,Led_Board_M,2100,0.227864583,984,276.5,0.997404,1,68
48,#BeTheNext,Grandstand,3270,0.354817708,56.5,30,0.999311,1,73
48,IAAF,Grandstand,1008,0.109375,398,31.5,0.999454,1,71
48,Seiko,Infield_Board,13769,1.494032118,1129.5,378.5,0.999029,1,70
